ALGUM COISA TENTAR	Vamos tentar alguma coisa!
PONTO PLANO O PRODUÇÃO DIVULGAÇÃO PERIÓDICO CORRUPÇÃO INTERNACIONAL	Os últimos dois pontos são o da produção e divulgação periódica de informação sobre o fenómeno da corrupção e o da cooperação no plano internacional no combate à corrupção.
CONSELHO MINISTROS ESTE RUI PINTO ESTRATÉGIA VÉSPERA ALEGAR DOMÍNIO PLATAFORMA SÉRIE ALEGAR FRAUDES APROVAR DECORRER COLOCAR SUSPEITAR NEGÓCIOS GRANDE CLUBES FUTEBOL SUSPEITAR LIGAR	O Conselho de Ministros que aprovou esta Estratégia decorreu na véspera do início do julgamento do pirata informático/denunciante Rui Pinto, criador da plataforma Football Leaks, que colocou no domínio público uma série de alegadas fraudes e negócios suspeitos ligados a grandes clubes de futebol.
QUANDO MINISTRA VAN DUNEM SEPARAÇÃO LINHAS ESTRATÉGIA SABER FASE PROCESSOS INVESTIGAÇÃO EVITAR MEGAPROCESSOS APRESENTAR CELEBRAÇÃO 2 ACORDO PENA BASE JULGAMENTO CONFISSÃO MEDIDA PREVER	Quando a ministra Van Dunem apresentou as linhas gerais da Estratégia soube-se que a separação de processos na fase de investigação, evitando megaprocessos, e a celebração de acordos sobre a pena aplicável em julgamento, com base na confissão, são duas das principais medidas previstas.
SERIAMENTE QUE CHAVE MAIS QUE JUSTIÇA SOFISTICAR SOFISTICAR SOFISTICAR SOFISTICAR PREVENÇÃO SOFISTICAR FENÓMENO REALÇAR ENFRENTAR ENTENDER SER	Na ocasião, a ministra da Justiça realçou que a chave do problema para enfrentar a corrupção está na prevenção, por se entender que o sistema repressivo, por mais sofisticado que seja, é insuficiente para diminuir seriamente o fenómeno.
TOTAL AO MEDIDAS MULHER REAÇÃO BASTONÁRIO ORDEM DOS ADVOGADOS FAVORÁVEL ADOÇÃO CORRUPÇÃO COMBATE CONHECER DECLARAR MAS ESTADO DIREITO CUSTA DELAÇÃO MOSTRAR PREMIAR (NÃO)	Das reações conhecidas, o bastonário da Ordem dos Advogados (AO) declarou-se totalmente favorável à adoção de medidas de combate à corrupção, mas não à custa do Estado de Direito, mostrando-se contra a delação premiada.
AQUI QUE MINISTRA ESTE VINCAR PONTO DELAÇÃO FALAR PREMIAR MAS INSTITUTO PENAL PORTUGUÊS ORDENAMENTO APENAS EXISTIR APENAS APRIMORAR (NÃO)	Sobre este ponto concreto, a ministra vincou que não é da delação premiada que se está aqui a falar, mas apenas de um instituto que já existe no ordenamento penal português e que se está apenas a aprimorar.
LUÍS MENEZES LEITÃO AINDA QUE OA VER OLHO OLHO OLHO ANTICORRUPÇÃO INICIATIVA CONTROLO ANUNCIAR REFERIR AINDA_NÃO SANCIONAMENTO MULHER ATRIBUIÇÃO NÍVEL RECOLHA TRATAMENTO INFORMAÇÃO ORGANIZAÇÃO ENTIDADES PÚBLICAS ATIVIDADES ENTIDADES CORRUPÇÃO PRIVAR RELACIONAR {NÃO}(headshake)	Luís Menezes Leitão referiu ainda que a OA também não vê com bons olhos a anunciada criação de um mecanismo anticorrupção, com poderes de iniciativa, controlo e sancionamento e com atribuições ao nível da recolha e tratamento de informação e da organização de programas de atividades entre entidades públicas e entidades privadas relacionados com a corrupção
ISSO ALTA AUTORIDADE EXISTIR 1983 LEMBRAR VELHO CORRUPÇÃO FAZER 1993 TOTAL QUE FLAGELO COMBATE RECORDAR ESSE INEFICAZ IR	Isso – disse — faz lembrar a velha Alta Autoridade contra a Corrupção, que existiu entre 1983 e 1993, e que foi totalmente ineficaz no combate a esse flagelo, recordou.
QUE PORQUE OUTRO REAÇÃO TESTE PERITOS VIR PRESIDENTE SINDICATO DOS MAGISTRADOS DO MINISTÉRIO PÚBLICO GOVERNO PRÓXIMO E RECURSOS CONSIDERAR	Outra reação veio do presidente do Sindicato dos Magistrados do Ministério Público, que considerou que o grande teste do Governo vai ser no próximo Orçamento de Estado, porque há falta de peritos e de recursos
INDEPENDENTE REPRESSIVO ESSENCIAL COMBATE ANTÓNIO VENTINHAS MULHER SOLUÇÃO PROPOSTAS PLANO MEIOS HUMANOS EXISTÊNCIA TÉCNICOS MULHER INVESTIGAÇÃO REALIZAR PERMITIR	Para António Ventinhas, independentemente das soluções propostas no plano repressivo, o essencial no combate à corrupção é a existência de meios humanos e técnicos que permitam realizar as investigações.
ENGENHEIROS PORQUE ESTADO ESTE CONCURSO MULHER CONDIÇÃO EMPRESAS INFORMÁTICO SETOR ALERTAR LANÇAR CONTRATAR COMPETIR PERMITIR OPERAR (NÃO)	Neste domínio, alertou para a falta de peritos do Núcleo de Assessoria Técnica (NAT), observando que um concurso lançado pela Procuradoria-Geral da República para contratar engenheiros informáticos ficou deserto porque o Estado não apresenta condições remuneratórias que permitam competir com as empresas que operam no setor informático.
HOJE MÉDIO PORTUGUÊS ANDRÉ GOMES TRABALHOS SELEÇÃO DISPENSAR HOJE DOIS JOGO SUÉCIA JORNADA 3 3 LIGA DAS NAÇÕES FEDERAÇÃO PORTUGUESA FUTEBOL FPF FALHAR ANUNCIAR	O médio André Gomes foi hoje dispensado dos trabalhos da seleção portuguesa e vai falhar o jogo com a Suécia, da segunda jornada do Grupo 3 da Liga das Nações, anunciou hoje a Federação Portuguesa de Futebol (FPF).
JOGADOR INGLESES GRUPO EVERTON ORDEM FERNANDO SANTOS ABANDONAR DEPOIS COMO INDISPONÍVEL UNIDASAÚDE DAR PERFORMANCE FEDERAÇÃO LUSO FPF COMITIVA SUÉCIA INFORMAÇÃO SÍTIO OFICIAL INTERNET DIVULGAR VIAJAR (NÃO)	O jogador dos ingleses do Everton abandonou o grupo às ordens de Fernando Santos, depois de ter sido dado como indisponível pela Unidade de Saúde e Performance da federação, e não viaja com a comitiva lusa para a Suécia, segundo a informação divulgada no sítio oficial da FPF na Internet.
ANTES TAMBÉM LILLE RENATO SANCHES ANDRÉ GOMES DISPENSAR SEQUER TAL COMO CRISTIANO RONALDO CAPITÃO PRESENTE VITÓRIA SÁBADO 0 DIREITO DIREITO INFEÇÃO DEDO PÉ DIREITO FICAR (NÃO)	Antes de André Gomes, também Renato Sanches, do Lille, tinha sido dispensado e não esteve sequer presente na vitória de sábado por 4-1 na receção à Croácia, na ronda inaugural, tal como o capitão Cristiano Ronaldo, que ficou na bancada do Estádio do Dragão, no Porto, devido a uma infeção num dedo do pé direito.
HOJE FPF TODO JOGADORES CROÁCIA MANHÃ ESTÁDIO DO BESSA PORTO INDICAR FICAR REALIZAR	Na manhã de hoje, a FPF indicou que todos os jogadores que ficaram de fora das opções iniciais no encontro frente à Croácia estiveram às ordens de Fernando Santos, na sessão de treino realizada no Estádio do Bessa, no Porto.
FRENTE TITULAR CROATA EQUIPA QUINA FPF ALTURA 11 EUROPEU EUROPEU EUROPEU COMITIVA CAMPEÃO EUROPEU ADIANTAR INSTALAR INFORMAR DETENTORES TÍTULO LIGA DAS NAÇÕES SUÉCIA INÍCIO TARDE PARTIR	O onze titular do jogo frente aos croatas realizou trabalho físico de recuperação no hotel onde a equipa das quinas está instalada, informou, na altura, a FPF, adiantando que a comitiva dos campeões europeus e detentores do título da Liga das Nações partiria para a Suécia ao início da tarde.
58 JOÃO CANCELO 41 MINUTO 70 JOÃO FÉLIX ANDRÉ SILVA FRANÇA 90+5 GOLO PORTUGAL IGUALDADE SUÉCIA VENCEDOR MARCAR LIDERAR ENQUANTO BRUNO PETKOVIC CROATA 90+1 MARCAR	João Cancelo, aos 41 minutos, Diogo Jota, aos 58, João Félix, aos 70, e André Silva, aos 90+5, marcaram os golos de Portugal, que lidera o Grupo 3 da Liga A, em igualdade com a França, vencedora por 1-0 na Suécia, enquanto Bruno Petkovic marcou para os croatas, aos 90+1.
JOGO SELEÇÃO ESTÁDIO 18:00 18:00 18:00 18:00 SUÉCIA FERNANDO SANTOS 18:00 JOGADOR ANTECEDER PREVER DEFRONTAR DECORRER	A seleção portuguesa defronta a Suécia na segunda jornada, na terça-feira, em Solna, estando previsto na segunda-feira um treino no estádio onde decorrerá o jogo, a partir das 18:00, antecedido de conferência de imprensa do selecionador, Fernando Santos, e de um jogador, às 17:15.
HOJE LÍDER JERÓNIMO SOUSA QUE PCP QUE PARTIDO PENA CONTAR SENTENCIAR SUBLINHAR DIZER VALER NÃO CONTAR NÃO DECISIVO INTERESSES PORTUGUESES DEFENDER (NÃO)	O líder comunista, Jerónimo de Sousa, disse hoje que não vale a pena sentenciar que o PCP não conta, sublinhando que o partido conta muito e decisivamente para defender os interesses dos portugueses.
EVENTO SECRETÁRIO GERAL PCP COMÍCIO ENCERRAMENTO 3 3 3 PCP ANO 3 REGRA 3 PANDEMIA DISCURSAR RESTRINGIR	O secretário-geral do PCP discursava no comício de encerramento dos três dias da 44.ª edição da Festa do Avante!, no Seixal (distrito de Setúbal), num ano em que o evento político-cultural do PCP foi muito restringido pelas regras sanitárias devido à pandemia de covid-19.
DIMENSÃO OUTRO PROBLEMA RESPOSTA EXIGIR	A dimensão dos problemas exige outra resposta
PCP SEU SEU ALTURA RESPONSABILIDADES COMPROMISSOS INTERESSES PAPEL TRABALHADORES POVO SEU ESTAR	O PCP está à altura das suas responsabilidades, do seu papel e dos seus compromissos com os interesses dos trabalhadores e do povo
UM PENA AMEAÇAS CRISE POLÍTICO POLÍTICO ELES VIRAR AGITAR VALER (NÃO)	Não vale a pena uns virem agitar com ameaças de crise política
QUE TODO O APROVEITAR INSTRUMENTOS TRABALHADORES IMPOR PERMITIR NÃO POVO VIDA CRISE SEU AFIRMAR VER MERGULHAR (NÃO)	O que se impõe é aproveitar todos os instrumentos para não permitir que os trabalhadores e o povo vejam a sua vida mergulhada numa crise diária, afirmou.
JÁ PCP PAÍS POIS PCP PENA SECRETÁRIO GERAL PROVA MULHER CONTAR SENTENCIAR FAZER CONTAR NÃO DECISIVO COMO NENHUM OUTRO AVANÇOS INTERESSE CLASSES ASSEGURAR (NÃO)	Segundo o secretário-geral comunista, não vale a pena apressarem-se, outros, a sentenciar que o PCP não conta, que estaria de fora das soluções de que o país precisa, pois se há prova que o PCP já fez é que conta, conta muito e decisivamente, como nenhum outro, para assegurar avanços no interesse das classes e camadas populares.
POLÍTICA AVANÇAR OU CURSO NEM PROBLEMAS RESPOSTA PROBLEMA PRESENTE FUTURO PAÍS (NÃO)	As políticas que se avançam ou estão em curso não dão resposta aos problemas do presente, nem aos problemas do futuro do país
NOME ISSO NÓS VIR SOCIAL SOBRETUDO PROPOSTA GOVERNO ORÇAMENTO SUPLEMENTAR O ONDE CAPITAL MILHÕES REVELAR OPÇÃO FAVORECIMENTO CANALIZAR SUPORTAR MILHÕES EUROS CONTINUAR	Vimos isso no chamado Programa de Estabilização Económica e Social e na proposta do Governo de Orçamento Suplementar que o suportava, onde se revelou, sobretudo, por uma clara opção pelo favorecimento dos interesses do capital para quem se canalizam milhões e milhões de euros, continuou.
LÍDER SOLUÇÃO PROBLEMA NACIONAIS REFERIR NEM RESPOSTA INTERESSES TRABALHADORES TAL COMO CDS POVO MULHER OPÇÃO COMO PROJETOS REACIONÁRIOS GOVERNO PS PSD INICIATIVA LIBERAL ACONTECER (NÃO)	O líder comunista referiu que não há solução para os problemas nacionais nem resposta aos interesses dos trabalhadores e do povo com as opções do Governo PS, tal como acontece como os projetos reacionários do PSD, CDS, Iniciativa Liberal e Chega.
COMO PAÍS QUE PARTIDO NENHUM NENHUM RESPOSTA VIDA VIDA VIDA VIDA VIDA VIDA DIREITOS VIDA MULHER CONDIÇÃO VIDA MELHORES ENFRENTAR PROMETER DAR GARANTIR DESPERDIÇAR (NÃO)	Perante as dificuldades que o país enfrenta, Jerónimo de Sousa prometeu que o partido não faltará, como nunca faltou, a nenhuma solução que dê resposta aos problemas, não desperdiçará nenhuma oportunidade para garantir direitos e melhores condições de vida.
REPRESENTANTE CONCRETO PALAVRAS MULHER INTENÇÃO AVALIAÇÃO DO QUE PROMETER FAZER ASSENTAR TER FAZER PRECISAR (NÃO)	Segundo o representante, é no concreto e não em meras palavras de intenções que tem de assentar a avaliação do que precisa ser feito, prometeu.
ANTES POLÍTICO NACIONAL POLÍTICO AVANTE LÍDER MULTIDÃO MEMBRO COMISSÃO DIREÇÃO JUVENTUCOMUNISTA PORTUGUESA AFONSO SABENÇA JUVENTUCOMUNISTA PORTUGUESA AFONSO SABENÇA COMITÉ CENTRAL DO PCP DIRETOR JORNAL DIRIGIR	Antes do líder, dirigiram-se à multidão o membro da comissão política da direção nacional da Juventude Comunista Portuguesa Afonso Sabença e o membro da comissão política do Comité Central do PCP e diretor do jornal Avante
MANUEL RODRIGUES	Manuel Rodrigues.
DEPOIS JÁ CAMPEÃO NACIONAL SÁBADO 0 ÁGUAS SANTAS DRAGÃO 2018/19 VENCER LÍDER DEVER CAMPEONATO PANDEMIA 0 2019/20 CANCELAR DOMINAR QUASE PARTIDA TODA A	Depois de já terem vencido sábado o Águas Santas por 32-23, os dragões, campeões nacionais em 2018/19 e líderes de um campeonato cancelado devido à pandemia de covid-19 em 2019/20, dominaram e controlaram quase toda a partida.
ARRANQUE EQUILIBRAR FC PORTO JOGO MINUTO 4 CARA CARA CARA EFICÁCIA CARA BALIZA CARA EMPATAR DEMONSTRAR ACABAR NACIONAL SEMANA MARCADOR ARRANQUE CAMPEONATO DESCOLAR	Com um arranque equilibrado, e o jogo empatado a quatro bolas aos 10 minutos, o FC Porto acabou por demonstrar maior eficácia na cara da baliza e descolar no marcador, a uma semana do arranque do campeonato nacional.
DEPOIS LEÃO ENCONTRO MARCADOR INTERVALO 0 SÁBADO AVANCA 0 VOLTAR CONSISTENTE CONSISTENTE CHEGAR BATER COMPLEMENTAR 1 10 DIFERENÇA MINUTO ETAPA APENAS 0 0 ELES REDUZIR PERDER CHEGAR	Depois de o encontro chegar ao intervalo com 16-12 no marcador, os leões, que no sábado bateram o Avanca por 30-22, voltaram mais consistentes e reduziram a diferença, chegando aos 10 minutos da etapa complementar a perder apenas por um (18-17).
AZUIS EQUILIBRAR ELES IR BRANCO ACABAR GOLO DIFERENÇA 5 5 ELE SUPERIORIZAR VENCER VOLTAR	Apesar de novo período equilibrado, foram os azuis e brancos a voltar a superiorizar-se, acabando por vencer por cinco golos de diferença.
MESMO TODO JOGOS IMPORTANTES NÓS PARTICULAR	Todos os jogos são importantes para nós, mesmo sendo um particular
CAMPEONATO SÁBADO ARRANCAR HOJE EQUIPA NOSSO DETERMINAR	O campeonato arranca no sábado e a nossa equipa estava muito determinada hoje
FELIZ RESULTADO COMO FORMA JOGAR MAGNUS ANDERSSON PORTO CANAL MULHER DECLARAÇÃO TÉCNICO FC PORTO EXPLICAR	Estou feliz com o resultado e com a forma como jogámos, explicou, em declarações ao Porto Canal, o técnico do FC Porto, Magnus Andersson.
PANDEMIA TÉCNICO LADO SPORTING RUI SILVA REALIZAÇÃO DIFICULDADE OFENSIVO OFENSIVO OFENSIVO JOGO OFENSIVO MOVIMENTO OFENSIVO SEU REALÇAR TRAZER NECESSIDADE ARRANQUE LIGA TRABALHAR CONTINUAR	Por seu lado, o técnico do Sporting, Rui Silva, realçou a dificuldade que a pandemia de covid-19 trouxe para a realização de jogos particulares, destacando o bom movimento ofensivo e a necessidade de continuar a trabalhar para o arranque da Liga e para as competições europeias.
DOIS PRIMEIRO ÁGUAS SANTAS OUTRO EQUIPA JOGO DIA 2 RONDA AVANCA 0 PERDER VENCER	No outro jogo do segundo dia, entre duas equipas que perderam na primeira ronda, o Águas Santas venceu o Avanca por 23-19.
ANTES ALGUM BISSAU MULHER DECLARAÇÃO JORNALISTAS GUINEENSES EUROPA VIAJAR PARTICIPAR	Em declarações aos jornalistas no aeroporto de Bissau, antes de viajar para o Níger, onde participa na segunda-feira numa cimeira de líderes da Comunidade Económica de Estados da África Ocidental (CEDEAO), Umaro Sissoco Embaló disse ser uma vergonha o comportamento de alguns guineenses na Europa.
PRIMEIRO MINISTRO COMUNIDADE CORONAVÍRUS NOSSO EU FALAR PEDIR IMPORTAR	O primeiro-ministro português pediu-me que falasse com a nossa comunidade que está a importar o coronavírus
PORQUE TRISTE ISSO VERGONHA	Estou triste com isso, porque é uma vergonha
PODER PAÍS BEM CHEFE COMPORTAR ESTADO (NÃO)	Não se pode estar num país e não se comportar bem, observou o chefe de Estado.
ELEMENTOS PORTUGAL COMUNIDADE COMUNIDADE PAÍS DEZEMBRO MANIFESTAR COMUNIDADE MULHER ELEIÇÃO PASSADO VIR VIR PASSADO	Elementos da comunidade guineense na diáspora, sobretudo os residentes na Europa, nomeadamente em Portugal, têm vindo a manifestar-se para chamar a atenção sobre a situação política no país, decorrente das últimas eleições presidenciais, realizadas em dezembro passado.
TAMBÉM GUINEENSE EUROPEU POLÍTICO COMUNIDADE VÁRIOS PROTESTOS JUNTO PARLAMENTO BRUXELAS LISBOA SITUAÇÃO PAÍS REALIZAR	A comunidade guineense tem realizado vários protestos em Lisboa e também junto ao parlamento europeu, em Bruxelas, contra a situação política no país.
INICIATIVA OUTRO LUGAR DIA 24 PAÍS GENEBRA SUÍÇA TER ASSINALAR	Uma outra iniciativa semelhante terá lugar no próximo dia 24, data em que se assinala o 47.º aniversário da independência do país, em Genebra, na Suíça.
AINDA QUE ESTE ALGUM ANTÓNIO COSTA MAL MAL MAL MAL GUINÉ MAL PAÍS MAL LAMENTAR AFIRMAR FAZER SABER	Sobre estas manifestações, Sissoco Embaló afirmou que disse a António Costa lamentar que ainda haja alguns filhos da Guiné que só sabem fazer mal ao país.
MAL BOM PRÓPRIO SEU SEU ENTENDER FILHO PAÍS ELE FAZER (NÃO)	No seu entender, um bom filho não faz mal ao seu próprio país.
ÀS VEZES GUINÉ BISSAU TER SITUAÇÃO MAS SEU DEFENDER PRESIDENTE DIZER PORTUGAL NOÇÃO GUINEENSE PESSOAS GUINEENSE INOCÊNCIA GUINEENSE PROVOCAR AGIR	Disse ao primeiro-ministro de Portugal que na Guiné-Bissau as pessoas têm noção da situação provocada pelo coronavírus, mas, às vezes, as pessoas agem pela sua inocência, defendeu o Presidente guineense.
HOJE CLARO SECRETÁRIO GERAL ACORDO QUE PCP CONSIDERAR GOVERNO DISPENSÁVEL RESSALVAR AGUARDAR ORÇAMENTO DO ESTADO PRÓXIMO ESCREVER DISPONÍVEL SEU DAR CONTRIBUIÇÃO	O secretário-geral comunista considerou hoje que um acordo escrito com o Governo minoritário socialista é claramente dispensável, ressalvando que o PCP aguarda pelo próximo Orçamento do Estado e está disponível para dar a sua contribuição.
VISITA MULHER EXPOSIÇÃO SEIXAL FESTA DO AVANTE DISTRITO SETÚBAL POSSÍVEL ACORDO QUESTIONAR ESCREVER 0 SEIXAL VISITA MULHER EXPOSIÇÃO FESTA DO AVANTE DISTRITO SETÚBAL ACORDO POSSÍVEL PARTIDO QUESTIONAR EXECUTIVO SOCIALISTA CONSIDERAR ESSE FORMALIZAÇÃO REGISTAR DESNECESSÁRIO 2015	De visita a uma das exposições da 44.ª Festa do Avante!, no Seixal (distrito de Setúbal), e questionado sobre um possível acordo escrito entre o partido e o executivo socialista, Jerónimo de Sousa considerou essa formalização — registada em 2015 – desnecessária.
PERFEITO PAPEL NÓS DISPENSÁVEL	Por nós o papel seria perfeitamente dispensável
SÓ DEVER PAPEL PAPEL PAPEL PAPEL PRESIDENTE DA REPÚBLICA 2015 SECRETÁRIO GERAL CAVACO SILVA REFERIR ACONTECER QUERER QUERER	Só aconteceu [em 2015] devido à insistência do então Presidente da República, que queria o papel, queria o papel, queria o papel, queria o papel, argumentou o secretário-geral, referindo-se a Cavaco Silva.
GOVERNO ANTÓNIO COSTA PROPOSTA PCP DISCUSSÃO DISCUSSÃO DISCUSSÃO ASSEMBLEIA DA REPÚBLICA CONTRIBUIÇÃO PARTIDO SEU SABER LEVAR DAR	Para o PCP, resta saber qual a proposta orçamental que o Governo de António Costa irá levar a discussão na Assembleia da República, estando o partido disponível para dar a sua contribuição.
