Bom dia, Mike.	BOM DIA MIKE
O seu rendimento anual é maior do que o do seu irmão.	RENDIMENTO SEU SEU DO QUE O MAIOR IRMÃO
Ensino chinês.	ENSINO CHINÊS
Não quero pôr a sua teoria em dúvida.	TEORIA DÚVIDA SEU PÔR (NÃO)
Fizeste tu próprio essa boneca?	{TU PRÓPRIO ESSE BONECA FAZER}(q)
A tua equipa é melhor do que a nossa.	DO QUE MELHOR TEU EQUIPA NOSSO
É um bom manual.	BOM MANUAL
Sinto muito de lhe ter feito esperar tanto tempo.	TANTO LHE FAZER TEMPO FAZER ESPERAR SENTIR
Gosto de viajar com o meu carro.	GOSTO CARRO MEU VIAJAR
Quando se trata de inglês, sou o melhor.	QUANDO ELE TRATAR MELHOR INGLÊS
Hoje temos exame de inglês.	HOJE EXAME INGLÊS NÓS TER
Obviamente, esse rumor é falso.	OBVIAMENTE RUMOR ESSE FALSO
A sua reacção ao seu atraso foi de despedi-la.	REACÇÃO SEU ATRASO SEU DESPEDIR IR
A reunião vai começar às quatro em ponto.	REUNIÃO 4 PONTO COMEÇAR
A estrada é direita, mas o declive é íngreme.	ESTRADA DIREITO MAS DECLIVE ÍNGREME
Ele gritou de dor.	ELE DOR GRITAR
Acabou o seu trabalho?	{TRABALHO SEU ELE ACABAR}(q)
Ele seria o último a trair os seus amigos.	ELE ÚLTIMO AMIGO SEU
John é o mais alto dos dois, e mais alto que todos.	MAIS JOHN 2 TODO MAIS
Dormiste bem?	{BEM TU DORMIR}(q)
A mulher de meia idade continuou a falar alto durante todo a viagem.	IDADE TODO MULHER MEIO ALTO VIAGEM FALAR CONTINUAR
Mas que raios estás tu a fazer aqui?	{MAS AQUI RAIOS TU FAZER}(q)
Gostaria de fazer uma transferência de dez dólares.	TRANSFERÊNCIA 10 DÓLAR FAZER ELE GOSTAR
O meu pai comprou-me um relógio de que não gosto muito.	PAI RELÓGIO MEU COMPRAR GOSTAR (NÃO)
Quando pedi por ele, estava ocupado a trabalhar.	QUANDO DELE EU PEDIR OCUPAR TRABALHAR
Ela não aceitou a proposta.	PROPOSTA ELE ACEITAR (NÃO)
Tu nadas muito melhor do que ele.	TU MELHOR DO QUE ELE
A minha mulher telefona-me regularmente quando eu estou de viagem noutro país.	REGULAR MULHER MEU EU TELEFONAR QUANDO EU OUTRO VIAGEM PAÍS
O meu pai está a fazer a barba na casa de banho.	PAI BARBA MULHER CASA BANHO MEU FAZER
Ela não é mais bonita que a sua mãe.	SEU BONITO MÃE MAIS (NÃO)
O dicionário de que ele falou não está disponível na biblioteca.	ELE DICIONÁRIO DISPONÍVEL BIBLIOTECA FALAR (NÃO)
Lidas bem com mulheres.	BEM MULHER MULHER LER
De repente o tempo aqueceu.	TEMPO REPENTE AQUECER
Estava cheio de fome quando cheguei a casa.	CHEIO FOME QUANDO CASA EU CHEGAR
Ainda há muito por fazer.	AINDA FAZER HAVER
Meu pai está se barbeando no banheiro.	PAI BANHEIRO MEU BARBEAR
Estou ocupado demais para ir.	DEMAIS OCUPAR IR
Eu não tô nem aí para o mercado de ações!	AÍ EU NEM TÔ MERCADO MULHER AÇÃO (NÃO)
Eu normalmente durmo às nove.	NORMAL EU 9 DORMIR
A entrada é restrita a funcionários.	ENTRADA RESTRITO FUNCIONÁRIOS
Você pode adicionar sentenças que você não sabe traduzir.	VOCÊ VOCÊ SENTENÇAS ADICIONAR PODER TRADUZIR NÃO_SABER {NÃO}(headshake)
É perigoso para ti nadar neste rio.	PERIGOSO TU ESTE NADAR RIO
A cerimónia começou mal eu entrei no átrio.	MAL CERIMÓNIA EU ENTRAR ÁTRIO COMEÇAR
Havia vários tipos de doces.	VÁRIOS TIPOS DOCE HAVER
Assim o fizemos, segundo um antigo costume.	ASSIM ANTIGO O COSTUME FAZER
Roubaram o meu dinheiro.	DINHEIRO MEU ELES ROUBAR
Comprei-o por dez dólares.	O 10 DÓLAR COMPRAR
A propósito de Nagoia, já foste a Seto?	{JÁ NAGOIA SETO PROPÓSITO IR}(q)
O meu filho quer ser um Lincoln.	FILHO MEU QUERER LINCOLN
A Judy mandou o seu filho à cama.	JUDY FILHO CAMA SEU MANDAR
Estou impaciente de ir à festa.	IMPACIENTE FESTA IR
Ele gosta de fazer tudo ele mesmo.	MESMO ELE TUDO ELE FAZER GOSTAR
Ó não, o meu passaporte desapareceu!	Ó PASSAPORTE MEU DESAPARECER (NÃO)
Eu vivi aqui durante trinta anos.	AQUI 30 EU ANO VIVER
Alguma coisa bloqueou a canalização.	COISA ALGUM CANALIZAÇÃO ELE BLOQUEAR
Aprender inglês é um grande esforço.	APRENDER GRANDE ESFORÇO
Decidi correr todas as manhãs.	TODAS AS MANHÃS CORRER EU DECIDIR
O sinal avisa de que a polícia rebocará o seu carro se estacionar aqui.	AQUI SINAL POLÍCIA CARRO SEU REBOCAR ESTACIONAR AVISAR
O nosso convidado está lá embaixo à nossa espera.	LÁ CONVIDADO NOSSO NOSSO EMBAIXO ESPERA
Ken e Meg são ambos meus amigos.	KEN MEG AMBOS AMIGO MEU
Pareces preconceituoso em relação às ideias que vêm do estrangeiro.	IDEIAS RELAÇÃO ESTRANGEIRO PARECER VIR
Devo-lhe 50.000 ienes.	50.000 IENE EU DEVER
Há um problema com essa televisão?	{ESSE TELEVISÃO PROBLEMA HAVER}(q)
É difícil calcular os resultados da eleição.	DIFÍCIL CALCULAR RESULTADOS ELEIÇÃO
Que bom da sua parte.	BOM PARTE SEU
O Joe e eu vimos um leão ontem.	JOE ONTEM EU LEÃO VIR
A ver pelo céu, amanhã teremos um belo dia.	AMANHÃ BELO VER CÉU DIA NÓS TER
Ele salvou o rapaz do afogamento, mas ao custo da sua própria vida.	PRÓPRIO ELE RAPAZ SEU MAS AFOGAMENTO CUSTO VIDA SALVAR
O Tom está a deixar o bigode crescer.	BIGODE TOM DEIXAR CRESCER
O óleo não se mistura com água.	ÓLEO ÁGUA MISTURAR (NÃO)
Vem conosco.	CONOSCO ELE VIR
Ela disse que iria provavelmente chover.	PROVAVELMENTE CHOVER ELE DIZER
Ele estava deitado de costas.	ELE DEITAR COSTAS
Algo ficou preso no encanamento.	ALGO PRESO ENCANAMENTO FICAR
Diana através dos ramos	ATRAVÉS DIANA RAMOS
Espreita a vinda de Endymion	VINDA ENDYMION ESPREITAR
Endymion que nunca vem,	ENDYMION VIR NUNCA NÃO
Endymion, Endymion,	ENDYMION ENDYMION
E a sua voz chamando	VOZ SEU NOME
Exclama através dos ramos	ATRAVÉS RAMOS ELE EXCLAMAR
A REFORMA DO CALENDÁRIO E AS SUAS CONSEQUÊNCIAS COMERCIAIS	REFORMA DO CALENDÁRIO E AS SUAS CONSEQUÊNCIAS COMERCIAIS
A Comissão Especial de Inquérito à Reforma do Calendário, estabelecida pela Sociedade das Nações em 1924, acaba de publicar o seu Relatório.	SOCIEDADAS NAÇÕES SEU 1924 RELATÓRIO REFORMA DO CALENDÁRIO ESTABELECER PUBLICAR ACABAR
A Comissão era composta do Prof. van Eysinga, da Universidade de Leyden (presidente); Rev. T.E.R. Philips, secretário da Real Sociedade Astronómica de Londres, nomeado pelo Arcebispo de Canterbury, chefe da Igreja Inglesa; Rev. P. Gianfranceschi, presidente da Academia 	REV. COMISSÃO COMPOR PROF. EYSINGA VAN UNIVERSIDALEYDEN PRESIDENTE TER SECRETÁRIO REV. PHILIPS ARCEBISPO CANTERBURY REAL SOCIEDAASTRONÓMICA LONDRES CHEFE IGREJA INGLESA NOMEAR P. GIANFRANCESCHI PRESIDENTE ACADEMIA
nomeado pela Santa Sé; Prof. Eginitis, director do Observatório de Atenas, representando o Patriarca Ecuménico de Constantinopla; o Sr. Bigourden, antigo presidente da Comissão de Calendário da União Astronómica Internacional; e o Sr. Willis H. Booth, antigo presidente da Câmara Internacional de Comércio.	OBSERVATÓRIO ATENAS SR. BIGOURDEN PRESIDENTE SR. WILLIS H. BOOTH SANTA SÉ PROF. EGINITIS DIRECTOR PATRIARCA ECUMÉNICO CONSTANTINOPLA ANTIGO CÂMARA INTERNACIONAL COMÉRCIO ANTIGO NOMEAR REPRESENTAR
A comissão teve que examinar 185 projectos de Reforma do calendário actual, apresentadas por 33 países diferentes, dos 56 que pertencem à Sociedade das Nações. Responderam ao questionário detalhado, que se expediu aos 56 países e várias entidades religiosas e não religiosas em todo o mundo, 27 governos, 26 organizações internacionais (incluindo os variados comités nacionais da Câmara Internacional de Comércio), 18 administrações de caminhos-de-ferro, repartições de instrução pública de 23 países, e outras organizações que há menos interesse em citar.	COMISSÃO 185 PROJECTO 33 CALENDÁRIO PAÍS SOCIEDADAS NAÇÕES EXAMINAR APRESENTAR PERTENCER QUESTIONÁRIO 56 PAÍS RESPONDER DETALHAR EXPEDIR VÁRIOS ENTIDADES IGREJA INTERNACIONAL IGREJA NACIONAL MULHER ORGANIZAÇÃO MULHER ORGANIZAÇÃO MULHER ORGANIZAÇÃO TODO O MUNDO 27 GOVERNO 26 PÚBLICO PAÍS INSTRUÇÃO INCLUIR MULHER ORGANIZAÇÃO MENOS OUTRO INTERESSE HAVER CITAR (NÃO)
A origem deste inquérito, cujas consequências práticas e até comerciais convém não deixar de meditar, reside no carácter irregular e defeituoso do Calendário Gregoriano, que presentemente nos mede o tempo. Os defeitos evidentes e capitais do actual calendário são, na opinião da Comissão relatora, a desigualdade dos seus meses, trimestres e semestres, e a sua ausência de “fixidade”. Os meses variam, como toda a gente sabe, quanto ao número de dias de que se compõem, e que vão de 28 a 31, desordenadamente. Os trimestres compõem-se, em sua sequência dentro do ano, de 90 (91 em ano bissexto), 91, 92 e 92 dias. Isto, afirma a Comissão, é causa de confusão e de incerteza nas relações económicas, nas estatísticas, nas contas, nos dados que registam os movimentos de comércio e de tráfico. Também os cálculos de salários, de juros, de prémios de seguro, de pensões, alugueres e rendas, que se estabeleçam numa base mensal, trimestral ou semestral, resultam necessariamente erróneos, por isso que não correspondem propriamente a períodos de um duodécimo, de um quarto ou de metade do ano. Para fazer, com relativo acerto e rapidez, cálculos diários em contas-correntes, têm os bancos que servir-se de tabelas especiais. Além disso, a desigual composição dos meses tem levado as firmas financeiras, na maioria dos países europeus, a calcular as contas-depósito e correntes na base do ano de 12 meses e 30 dias, ou sejam, 360 dias, ao passo que no desconto de letras se conta o ano com o seu número exacto de dias. Todas estas circunstâncias assumem proporções quase trágicas no relatório da Comissão, e a tragédia aumenta quando se chega a considerar a falta de fixidez do calendário actual.	ORIGEM CONSEQUÊNCIAS PRÁTICAS INQUÉRITO ATÉ COMERCIAIS ELE RESIDIR CARÁCTER IRREGULAR MEDITAR CONVIR DEIXAR NÃO PRESENTE DEFEITUOSO CALENDÁRIO GREGORIANO NÓS TEMPO MEDIR DEFEITOS EVIDENTES OPINIÃO MULHER CAPITAL RELATOR CALENDÁRIO MESES TRIMESTRES DESIGUALDADE SEU QUANTO MESES TODA A GENTE SABER NÚMERO DIA VARIAR COMPOR DESORDENADO 28 31 ELES IR DENTRO BISSEXTO TRIMESTRE SEU SEQUÊNCIA ANO 90 91 ANO 91 DIA DIA COMPOR ELE ELE AFIRMAR CAUSA COMISSÃO CONFUSÃO INCERTEZA MULHER RELAÇÃO ESTATÍSTICAS DADOS CONTAS MOVIMENTOS COMÉRCIO REGISTAR TAMBÉM CÁLCULOS SALÁRIOS SEGURO MULHER PENSÃO ALUGUERES RENDAS MENSAL TRIMESTRAL BASE OU NECESSARIAMENTE SEMESTRAL ERRÓNEOS ISSO PROPRIAMENTE QUARTO RESULTAR CORRESPONDER NÃO ACERTO RELATIVO FAZER RAPIDEZ CONTAS-CORRENTES CÁLCULOS BANCOS TABELAS ESPECIAIS TER SERVIR ALÉM COMPOSIÇÃO ISSO MESES MAIORIA FIRMAS PAÍSES CONTAS DEPÓSITO LEVAR CALCULAR CORRENTE BASE ANO 12 MÊS 30 OU DIA AO PASSO QUE NÚMERO DESCONTO LETRA SEU ELE CONTAR ANO DIA EXACTO QUASE TRÁGICAS CIRCUNSTÂNCIAS TODO ESTE MULHER PROPORÇÃO RELATÓRIO COMISSÃO ASSUMIR TRAGÉDIA AUMENTAR QUANDO FIXIDEZ CALENDÁRIO ACTUAL CONSIDERAR ELE CHEGAR (NÃO)
Por isso o problema primacial que, no ver da Comissão, confronta o reformador, é o que é que há-de fazer-se deste um dia, ou dois dias, a mais	PROBLEMA COMISSÃO O ISSO VER 2 REFORMADOR OU OU OU OU DIA MAIS CONFRONTAR FAZER
Seria o ano dividido em quatro trimestres iguais de 91 dias, compondo-se cada trimestre de três meses de 30, 30 e 31 dias (exactamente como os três primeiros trimestres do primeiro sistema). O dia suplementar do ano (o 365.º) seria contado fora da semana. Poder-se-ia chamar-lhe Dia de Ano Novo, e fazê-lo preceder o dia 1 de Janeiro; e o outro dia no ano bissexto poderia, do mesmo modo, preceder o dia 1 de Julho e chamar-se Dia de Ano Bissexto.	IGUAL ANO CADA 4 TRIMESTRE SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA MÊS DIA SISTEMA TRIMESTRE DIVIDIR COMPOR FORA DIA 0 SUPLEMENTAR ANO SEMANA CONTAR LHE DIA ANO NOVO NOME PODER 1 JANEIRO DIA PRECEDER FAZER MODO OUTRO DIA ANO DIA 1 JULHO PRECEDER PODER DIA ANO BISSEXTO NOME
Os processos que pertencem a este sistema dividem o ano em 13 meses de 28 dias, ou 4 semanas certas, cada um, o que perfaz um total de 52 semanas, ou 364 dias. Sobra um dia (o 365.º), que fica fora da semana.	PROCESSO ESTE SISTEMA 13 ANO MÊS 28 DIA PERTENCER DIVIDIR OU SEMANA CERTO O 4 TOTAL 52 SEMANA PERFAZER FORA DIA 0 SEMANA SOBRAR FICAR
Cabe aqui transcrever os próprios comentários da Comissão. Diz ela que:	AQUI PRÓPRIOS COMENTÁRIOS COMISSÃO TRANSCREVER DIZER
Para evitar isto, propõe a Comissão que se fixe para domingo de Páscoa o domingo seguinte ao segundo sábado de Abril.	ELE SÁBADO EVITAR COMISSÃO DOIS DOIS DOIS DOMINGO SEGUINTE ABRIL PROPOR FIXAR
Aqui, sem outro Apolo do que Apolo,	AQUI OUTRO DO QUE APOLO APOLO
Sem um suspiro abandonemos Cristo	SUSPIRO CRISTO ABANDONAR
E a febre de buscarmos	FEBRE BUSCAR
Um deus dos dualismos.	DEUS DUALISMOS
E longe da cristã sensualidade	LONGE CRISTÃO SENSUALIDADE
Que a casta calma da beleza antiga	CASTA CALMO ANTIGO BELEZA
Nos restitua o antigo	NÓS ANTIGO RESTITUIR
Sentimento da vida.	SENTIMENTO VIDA
Em Ceres anoitece.	CERES ANOITECER
Nos píncaros ainda	AINDA PÍNCAROS
Faz luz.	LUZ ELE FAZER
Sinto-me tão grande	TÃO EU SENTIR EU GRANDE
Nesta hora solene	ESTE SOLENE HORA
E vã	VÃO
Que, assim como há deuses	ASSIM COMO HAVER DEUSES
Dos campos, das flores	CAMPOS MULHER FLOR
Das searas,	SEARAS
Agora eu quisera	AGORA EU QUERER
Que um deus existisse	DEUS EXISTIR
Não a ti, mas aos teus, odeio, Cristo.	TU MAS CRISTO TEUS ODIAR
Tu não és mais que um deus a mais no eterno	MAIS TU DEUS MAIS ETERNO (NÃO)
Pantéon que preside	PANTÉON PRESIDIR
À nossa vida incerta.	VIDA INCERTO NOSSO
Nem maior nem menor que os novos deuses,	MAIOR MENOR NOVOS DEUSES NEM
Tua sombria forma dolorida	SOMBRIO DOLORIDO FORMA TEU
Trouxe algo que faltava	ALGO TRAZER FALTAR
Ao número dos divos.	NÚMERO DIVOS
Por isso reina a par de outros no Olimpo,	ISSO OUTROS OLIMPO REINAR
Ou pela triste terra se quiseres	OU ELE PELAR TERRA TRISTE PELAR QUERER
Vai enxugar o pranto	PRANTO ENXUGAR
Dos humanos que sofrem.	HUMANOS SOFRER
Não venham, porém, estultos teus cultores	PORÉM CULTORES ESTULTOS TEU ELES VIR (NÃO)
Em teu nome vedar o eterno culto	CULTO ETERNO NOME TEU VEDAR
Das presenças maiores	MAIORES PRESENÇAS
E parceiras da tua.	MULHER PARCEIRO TEU
A esses, sim, do âmago eu odeio	SIM ESSES ÂMAGO EU ODIAR
Do crente peito, e a esses eu não sigo,	CRENTE PEITO ESSES EU SEGUIR (NÃO)
Supersticiosos leigos	SUPERSTICIOSOS LEIGOS
Na ciência dos deuses.	CIÊNCIA DEUSES
Ah, aumentai, não combatendo nunca.	AH VÓS AUMENTAR NUNCA COMBATER {NÃO}(headshake)
Enriquecei o Olimpo, aos deuses dando	OLIMPO DEUSES ENRIQUECER DAR
Cada vez maior força	CADA VEZ FORÇA MAIOR
Plo número maior.	PLO NÚMERO MAIOR
Basta os males que o Fado as Parcas fez	FADO AS PARCAS MAL BASTAR FAZER
Por seu intuito natural fazerem.	NATURAL INTUITO SEU ELES FAZER
Nós homens nos façamos	HOMEM NÓS NÓS FAZER
Unidos pelos deuses.	DEUSES UNIR
O burburinho da água	BURBURINHO ÁGUA
O burburinho da água	BURBURINHO ÁGUA
No regato que se espalha	REGATO ESPALHAR
É como a ilusão que é mágoa	ILUSÃO MÁGOA
Quando a verdade a baralha.	QUANDO BARALHA
— A única vantagem de estudar é gozar o quanto os outros não disseram.	VANTAGEM O OUTROS A GOZAR ESTUDAR DIZER (NÃO)
— A arte é um isolamento. Todo o artista deve buscar isolar os outros, levar-lhes às almas o desejo de estarem sós. O triunfo supremo de um artista é quando a ler suas obras o leitor prefere tê-las e não as ler. Não é porque isto aconteça aos consagrados; é porque é o maior tributo (...)	A ARTE ISOLAMENTO TODO ARTE OUTROS DESEJO SÓS ALMAS BUSCAR ISOLAR DEVER TRIUNFO SUPREMO ARTE QUANDO ELE PREFERIR OBRAS LEITOR SEU TER LER LER AS LER PORQUE PORQUE ELE ELE ACONTECER CONSAGRAR MAIOR TRIBUTO (NÃO)
— Ser lúcido é estar indisposto consigo próprio. O legítimo estado de espírito com respeito a olhar para dentro de si próprio é o estado (...) de quem olha nervos e indecisões.	EU CONSEGUIR LÚCIDO INDISPOR SI ESTADO PRÓPRIO ESTADO RESPEITO ESPÍRITO NERVOS MULHER INDECISÃO OLHAR OLHAR
A única atitude intelectual digna de uma criatura superior é a de uma calma e fria compaixão por tudo quanto não é ele próprio. Não que essa atitude tenha o mínimo cunho de justa e verdadeira; mas é tão invejável que é preciso tê-la.	ATITUDE CALMO CRIATURA A COMPAIXÃO PRÓPRIO ELE MÍNIMO ATITUDE ESSE CUNHO JUSTO TER VERDADEIRO MAS TÃO INVEJÁVEL TER PRECISO (NÃO)
Ou o infinito se pode aplicar à matéria ou não.	OU INFINITO MATÉRIA OU APLICAR PODER (NÃO)
Admitamos que se pode. Há-de então aplicar-se por multiplicação e por divisão.	NÓS ADMITIR ENTÃO MULTIPLICAÇÃO DIVISÃO ELE APLICAR 1
Dividamos infinitamente o átomo A.	INFINITO ÁTOMO A. DIVIDIR
Donde se conclui	ONDE CONCLUIR
Ou 1) a matéria é infinitamente multiplicável, mas não infinitamente divisível;	OU INFINITO MATÉRIA 1 MULTIPLICÁVEL MAS INFINITO DIVISÍVEL (NÃO)
Ou 2) a matéria nem é uma coisa nem outra;	OU 2 MATÉRIA NEM COISA
Sofro, Lídia, do medo do destino.	LÍDIA MEDO DESTINO SOFRER
Qualquer pequena cousa de onde pode	ONDE PEQUENO COUSA QUALQUER PODER
Brotar uma ordem nova em minha vida,	NOVO VIDA ORDEM MEU BROTAR
Lídia, me aterra.	MULHER LÍDIO EU ATERRAR
Qualquer cousa, qual seja, que transforme	COUSA QUALQUER TRANSFORMAR
Meu plano curso de existência, embora	PLANO CURSO EXISTÊNCIA MEU EMBORA
Para melhores cousas o transforme,	MELHORES O COUSAS TRANSFORMAR
Por transformar	TRANSFORMAR
Odeio, e não o quero. Os deuses dessem	EU ODIAR O QUERER DEUSES DAR (NÃO)
Que ininterrupta minha vida fosse	ININTERRUPTO VIDA MEU FOSSAR
Uma planície sem relevos, indo	RELEVOS PLANÍCIE IR
Até ao fim.	ATÉ FIM
A glória embora eu nunca haurisse, ou nunca	NUNCA GLÓRIA EMBORA EU OU NUNCA NÃO
Amor ou justa estima dessem-me outros,	AMOR OU JUSTO ESTIMA OUTROS ELES DAR
Basta que a vida seja só a vida	SÓ VIDA VIDA
E que eu a viva. 	EU VIVA
Leve sonho, vais no chão	LEVE SONHO CHÃO TU IR
Leve sonho, vais no chão	LEVE SONHO CHÃO TU IR
A andares sem teres ser.	ANDARES
És como o meu coração	COMO CORAÇÃO MEU
Que sente sem nada ter.	NADA TER SENTIR
Tomar o sonho por real, viver demasiado os sonhos deu-me este espinho à rosa falsa de minha sonhada vida: que nem os sonhos me agradam, porque lhes acho defeitos.	SONHOS DEMASIADO EU ESTE MEU TOMAR VIVER SONHO REAL ESPINHO ROSA VIDA DAR DAR NEM PORQUE SONHOS EU LHES ACHAR DEFEITOS AGRADAR
Nem com pintar esse vidro de sombras coloridas me oculto o rumor da vida alheia ao meu olhá-la, do outro lado.	NEM EU OCULTAR ESSE ALHEIO MEU OUTRO PINTAR SOMBRAS VIDRO RUMOR VIDA OLHAR LADO COLORIR
Ditosos os fazedores de sistemas pessimistas! Não só se amparam de ter feito qualquer coisa, como também se alegram do explicado, e se incluem na dor universal.	FAZEDORES DITOSOS SISTEMA PESSIMISTAS NÃO SÓ COMO TAMBÉM QUALQUER FAZER COISA ELES ALEGRAR EXPLICAR FAZER AMPARAR UNIVERSAL DOR ELES INCLUIR
Eu não me queixo pelo mundo. Não protesto em nome do universo. Não sou pessimista. Sofro e queixo-me, mas não sei se o que há de mal é o sofrimento nem sei se é humano sofrer. Que me importa saber se isso é certo ou não?	{EU EU MUNDO QUEIXAR PROTESTO NOME UNIVERSO PESSIMISTA EU SOFRER EU MAS MAL O SOFRIMENTO HAVER NÃO_SABER NEM EU SABER HUMANO SOFRER SE ISSO EU IMPORTAR CERTO OU SABER}(q)
Eu sofro, não sei se merecidamente. (Corça perseguida.)	MERECIDO EU SOFRER NÃO_SABER NÃO_SABER MULHER CORÇO PERSEGUIR {NÃO}(headshake)
Eu não sou pessimista, sou triste.	EU PESSIMISTA TRISTE (NÃO)
ANIVERSÁRIO	ANIVERSÁRIO
No tempo em que festejavam o dia dos meus anos, 	TEMPO DIA ANOS MEU FESTEJAR
Eu era feliz e ninguém estava morto. 	EU FELIZ NINGUÉM
Na casa antiga, até eu fazer anos era uma tradição de há séculos, 	EU TRADIÇÃO CASA ANOS SÉCULOS FAZER HAVER
E a alegria de todos, e a minha, estava certa com uma religião qualquer. 	TODO ALEGRIA MEU QUALQUER IGREJA CERTO
No tempo em que festejavam o dia dos meus anos, 	TEMPO DIA ANOS MEU FESTEJAR
Eu tinha a grande saúde de não perceber coisa nenhuma, 	EU NENHUMA SAÚDE COISA TER PERCEBER (NÃO)
De ser inteligente para entre a família, 	FAMÍLIA
E de não ter as esperanças que os outros tinham por mim. 	OUTROS ESPERANÇAS EU TER NÃO_TER {NÃO}(headshake)
Quando vim a ter esperanças, já não sabia ter esperanças. 	QUANDO JÁ ESPERANÇAS ESPERANÇAS TER TER EU VIR (NÃO)
Quando vim a olhar para a vida, perdera o sentido da vida.	QUANDO SENTIDO VIDA VIDA OLHAR EU VIR PERDER
Sim, o que fui de suposto a mim mesmo,	MESMO O SUPOSTO EU SIM IR
O que fui de coração e parentesco,	O CORAÇÃO PARENTESCO IR
O que fui de serões de meia-província,	O SERÕES MULHER MEIA PROVÍNCIA IR
O que fui de amarem-me e eu ser menino. 	O EU AMAR IR EU MENINO
O que fui — ai, meu Deus!, o que só hoje sei que fui... 	SÓ QUE O DEUS AI MEU O HOJE IR SABER
A que distância!... 	DISTÂNCIA
O tempo em que festejavam o dia dos meus anos!	TEMPO DIA ANOS MEU FESTEJAR
O que eu sou hoje é como a humidade no corredor do fim da casa, 	HOJE O EU COMO HUMIDADE CORREDOR FIM CASA CASA
Pondo grelado nas paredes...	PAREDES GRELAR PÔR
O que eu sou hoje é terem vendido a casa.	HOJE O EU CASA VENDER
É terem morrido todos,	TODO MORRER
É estar eu sobrevivente a mim-mesmo como um fósforo frio...	MIM MESMO EU SOBREVIVENTE COMO FRIO FÓSFORO
No tempo em que festejavam o dia dos meus anos... 	TEMPO DIA ANOS MEU FESTEJAR
Que meu amor, como uma pessoa, esse tempo!	MEU ESSE AMOR COMO PESSOA TEMPO
Desejo físico da alma de se encontrar ali outra vez, 	ALI DESEJO ALMA OUTRA VEZ ENCONTRAR
Por uma viagem metafísica e carnal,	CARNAL VIAGEM METAFÍSICO
Com uma dualidade de eu para mim...	DUALIDADE EU EU
Comer o passado como pão de fome, sem tempo de manteiga nos dentes!	COMO PASSADO PÃO TEMPO FOME MANTEIGA DENTES COMER
