Diana através dos ramos	ATRAVÉS DIANA RAMOS
Mas sem chorar.	MAS CHORAR
Isto e eu comigo	ELE EU COMIGO
Posto no eterno aquém das coisas calmas	AQUÉM ETERNO POSTO COISA CALMAS
Que a vida externa mostra ao céu amigo —	EXTERNO AMIGO VIDA CÉU MOSTRAR
Campos ao sol, vivas flores almas.	CAMPOS ALMAS MULHER FLOR VIVAR
Isto só e não ter o coração abrigo	SÓ ELE ABRIGO CORAÇÃO NÃO_TER {NÃO}(headshake)
Nem sol as almas.	NEM ALMAS
Depus a máscara e vi-me ao espelho	MÁSCARA EU DEPOR EU ESPELHO VER
Era a criança de há quantos anos	CRIANÇA QUANTOS ANOS HAVER
Não tinha mudado nada	NADA MUDAR (NÃO)
É essa a vantagem de saber tirar a máscara	ESSA VANTAGEM MÁSCARA TIRAR SABER
É-se sempre a criança, 	SEMPRE CRIANÇA
O passado que foi 	PASSADO IR
A criança	CRIANÇA
Depus a máscara e tornei a pô-la	MÁSCARA EU DEPOR PÔR EU TORNAR
Assim é melhor, 	ASSIM MELHOR
Assim sou a máscara	ASSIM MÁSCARA
E volto à personalidade como a um terminus de linha.	COMO PERSONALIDADE TERMINUS LINHA EU VOLTAR
De quem é o olhar	QUEM OLHAR
Que espreita por meus olhos?	{ESPREITA MEU}(q)
Quando penso que vejo,	QUANDO EU PENSAR
Quem continua vendo	QUEM VER VER CONTINUAR
Enquanto estou pensando?	{ENQUANTO PENSAR}(q)
Por que caminhos seguem,	CAMINHOS SEGUIR
Não os meus tristes passos,	MEU TRISTE PASSOS (NÃO)
Mas a realidade	MAS REALIDADE
De eu ter passos comigo?	{COMIGO EU PASSOS TER}(q)
Às vezes, na penumbra	ÀS VEZES PENUMBRA
Do meu quarto, quando eu	QUANDO QUARTO MEU EU
Para mim próprio mesmo	MESMO EU PRÓPRIO
Em alma mal existo,	MAL ALMA EXISTIR
Toma um outro sentido	OUTRO SENTIDO ELE TOMAR
Em mim o Universo —	UNIVERSO EU
É uma nódoa esbatida	NÓDOA ESBATER
De eu ser consciente sobre	EU CONSCIENTE
Minha ideia das coisas.	MEU IDEIA COISA
Se acenderem as velas	VELAS ELES ACENDER
E não houver apenas	APENAS HAVER (NÃO)
A vaga luz de fora —	VAGO
Não sei que candeeiro	CANDEEIRO EU NÃO_SABER {NÃO}(headshake)
Aceso onde na rua —	ONDE ACESO RUA
Terei foscos desejos	FOSCOS DESEJOS EU TER
De nunca haver mais nada	MAIS NADA NUNCA NÃO
No Universo e na Vida	UNIVERSO VIDA
De que o obscuro momento	OBSCURO MOMENTO
Que é minha vida agora.	AGORA MEU VIDA
Um momento afluente	MOMENTO AFLUENTE
Dum rio sempre a ir	SEMPRE RIO IR
Esquecer-se de ser,	NÃO ESTAR CERTO ELE ESQUECER
Espaço misterioso	ESPAÇO MISTERIOSO
Entre espaços desertos	ESPAÇOS DESERTOS
Cujo sentido é nulo	SENTIDO NULO
E sem ser nada a nada.	NADA NADA
E assim a hora passa	ASSIM HORA PASSADO
Metafisicamente.	METAFISICAMENTE
Ó curva do horizonte, quem te passa, 	Ó HORIZONTE TU CURVAR PASSADO
Passa da vista, não de ser ou estar.	VISTA NÃO ESTAR CERTO ELE PASSADO OU (NÃO)
Não chameis à alma, que da vida esvoaça, 	ALMA VIDA NOME (NÃO)
Morta	MORTO
Dizei: Sumiu-se além no mar.	ALÉM VÓS DIZER SUMIR MAR
Ó mar, sê símbolo da vida toda —	Ó TODO SÍMBOLO VIDA
Incerto, o mesmo e mais que o nosso ver!	O INCERTO MESMO MAIS NOSSO VER
Finda a viagem da morte e a terra à roda,	FINDA VIAGEM MORTE TERRA RODA
Voltou a alma e a nau a aparecer.	ALMA ELE VOLTAR NAU APARECER
Na véspera de não partir nunca 	VÉSPERA NUNCA PARTIR {NÃO}(headshake)
Ao menos não há que arrumar malas 	ARRUMAR MALAS HAVER AINDA_{NÃO}(headshake)
Nem que fazer planos em papel 	NEM PLANOS PAPEL FAZER
Com acompanhamento involuntário de esquecimentos, 	INVOLUNTÁRIO ACOMPANHAMENTO ESQUECIMENTOS
Para o partir ainda livre do dia seguinte	AINDA LIVRE SEGUINTE DIA PARTIR
Não há que fazer nada 	NADA FAZER (NÃO)
Na véspera de não partir nunca	VÉSPERA NUNCA PARTIR {NÃO}(headshake)
Grande sossego de já não haver sequer de que ter sossego	JÁ GRANDE SEQUER SOSSEGO TER SOSSEGO HAVER (NÃO)
Grande tranquilidade a que nem sabe encolher ombros 	GRANDE TRANQUILIDADE NEM ENCOLHER OMBROS ELE SABER
Por isto tudo, ter pensado o tudo 	TUDO TUDO ELE PENSAR
É o ter chegado deliberadamente a nada	DELIBERADO NADA CHEGAR
Grande alegria de não ter precisão de ser alegre, 	GRANDE ALEGRIA PRECISÃO ALEGRE NÃO_TER {NÃO}(headshake)
Como uma oportunidade virada do avesso	COMO OPORTUNIDADE AVESSO VIRAR
Há quantas vezes vivo 	VIVO QUANTAS MULHER VEZ HAVER
A vida vegetativa do pensamento!	VIDA VEGETATIVO PENSAMENTO
Todos os dias 	TODOS OS DIAS
Sossego, sim, sossego	SIM SOSSEGO SOSSEGO
Grande tranquilidade	GRANDE TRANQUILIDADE
Que repouso, depois de tantas viagens, físicas e psíquicas	TANTO REPOUSO FÍSICAS PSÍQUICAS MULHER VIAGEM
Que prazer olhar para as malas fitando como para nada	COMO PRAZER MALAS FITAR NADA OLHAR
Dormita, alma, dormita	ELE DORMITAR ALMO DORMITAR
Aproveita, dormita	ELE APROVEITAR DORMITAR
Dormita	ELE DORMITAR
É pouco o tempo que tens	TEMPO POUCO TER
Dormita	ELE DORMITAR
É a véspera de não partir nunca!	VÉSPERA NUNCA PARTIR {NÃO}(headshake)
As minhas ansiedades caem	ANSIEDADES MEU CAIR
Por uma escada abaixo	ABAIXO ESCADA
Os meus desejos balouçam-se	DESEJOS MEU BALOUÇAR
Em meio de um jardim vertical.	MEIO JARDIM VERTICAL
Na Múmia a posição é absolutamente exacta.	ABSOLUTO POSIÇÃO EXACTO MÚMIA
Música longínqua,	MÚSICA LONGÍNQUO
Música excessivamente longínqua,	EXCESSIVO MÚSICA LONGÍNQUO
Para que a Vida passe	VIDA PASSADO
E colher esqueça aos gestos.	COLHER GESTOS ESQUECER
Lá fora a vida estua e tem dinheiro.	LÁ EU IR VIDA ESTUAR DINHEIRO ELE TER
Eu, aqui, nulo e afastado, fico	AQUI EU NULO EU FICAR AFASTAR
O perpétuo estrangeiro	PERPÉTUO ESTRANGEIRO
Que nem de sonhar já sou rico.	NEM JÁ RICO SONHAR
Não sou ninguém, o meu trabalho é nada	TRABALHO MEU NINGUÉM NADA (NÃO)
Neste enorme rolar da vida cheia,	CHEIO ESTE VIDA ENORME ROLAR
Vivo uma vida que nem é regrada	VIDA VIVAR NEM REGRAR
Nem é destrambelhada e alheia.	NEM DESTRAMBELHADO ALHEIO
E um século depois terá esquecido	SÉCULO DEPOIS ESQUECER
Tudo quanto estuou e foi ruído	ELE ESTUAR RUIR
Nesta hora em que vivo	HORA ESTE VIVAR
E os bisnetos	BISNETOS
Dos opressores de hoje, desta louca luta	HOJE ESTE OPRESSORES MULHER LOUCO LUTA
Saberão, mas vagamente, a data	VAGO DATA ELES SABER
— E claramente os meus sonetos.	CLARO E SONETOS MEU
O que há em mim é sobretudo cansaço — 	SOBRETUDO O EU CANSAÇO HAVER
Não disto nem daquilo, 	NEM AQUILO EU DISTAR (NÃO)
Nem sequer de tudo ou de nada: 	NEM SEQUER TUDO OU NADA
Cansaço assim mesmo, ele mesmo, 	ASSIM ELE MESMO MESMO
Cansaço.	CANSAÇO
A subtileza das sensações inúteis, 	SUBTILEZA INÚTEIS MULHER SENSAÇÃO
As paixões violentas por coisa nenhuma, 	NENHUMA MULHER PAIXÃO VIOLENTAS COISA
Os amores intensos por o suposto em alguém, 	AMORES ALGUÉM SUPOSTO
Essas coisas todas — 	TODO ESSE COISA
Essas e o que falta nelas eternamente —; 	ESSE ETERNO O ELAS FALTAR
Tudo isso faz um cansaço, 	TUDO ISSO CANSAÇO FAZER
Este cansaço, 	ESTE CANSAÇO
Cansaço.	CANSAÇO
Há sem dúvida quem ame o infinito,	DÚVIDA INFINITO HAVER AMAR
Há sem dúvida quem deseje o impossível,	IMPOSSÍVEL DÚVIDA DESEJAR HAVER
Há sem dúvida quem não queira nada —	DÚVIDA NADA HAVER (NÃO)
Três tipos de idealistas, e eu nenhum deles:	NENHUM 0 TIPO EU IDEALISTA ELES
Porque eu amo infinitamente o finito,	INFINITO PORQUE EU FINITO AMAR
Porque eu desejo impossivelmente o possível,	IMPOSSIVELMENTE PORQUE EU POSSÍVEL DESEJAR
Porque quero tudo, ou um pouco mais, se puder ser,	PORQUE TUDO EU QUERER OU UM POUCO MAIS NÃO ESTAR CERTO PODER
Ou até se não puder ser...	OU ATÉ SE NÃO ESTAR CERTO EU PODER (NÃO)
E o resultado?	{RESULTADO}(q)
Para eles a vida vivida ou sonhada,	VIDA ELES VIVER OU SONHAR
Para eles o sonho sonhado ou vivido,	SONHO ELES SONHAR OU VIVER
Para eles a média entre tudo e nada, isto é, isto...	ISTO É MÉDIA ELES TUDO NADA ELE
Para mim só um grande, um profundo,	SÓ GRANDE EU PROFUNDO
E, ah com que felicidade infecundo, cansaço,	AH INFECUNDO CANSAÇO FELICIDADE
Um supremíssimo cansaço,	SUPREMO CANSAÇO
Íssimo, íssimo, íssimo,	ÍSSIMO ÍSSIMO ÍSSIMO
Cansaço...	CANSAÇO
V	V
Porque abrem as coisas alas para eu passar?	EU COISA PASSADO ABRIR PORQUE (NÃO)
Tenho medo de passar entre elas, tão paradas conscientes.	TÃO MEDO CONSCIENTES ELAS TER PASSADO PASSADO
Tenho medo de as deixar atrás de mim a tirarem a Máscara.	MEDO EU MÁSCARA TER DEIXAR TIRAR
Mas há sempre coisas atrás de mim.	MAS SEMPRE COISA EU HAVER
Sinto a sua ausência de olhos fitar-me, e estremeço.	AUSÊNCIA OLHO SEU EU FITAR SENTIR EU ESTREMECER
Sem se mexerem, as paredes vibram-me sentido.	PAREDES EU MEXER SENTIDO VIBRAR
Falam comigo sem voz de dizerem-me as cadeiras.	COMIGO VOZ EU CADEIRAS FALAR DIZER
Os desenhos do pano da mesa têm vida, cada um é um abismo.	DESENHOS PANO TER MESA VIDA ABISMO
Luze a sorrir com visíveis lábios invisíveis	VISÍVEIS SORRIR INVISÍVEIS LÁBIOS
A porta abrindo-se conscientemente	CONSCIENTE PORTA ABRIR
Sem que a mão seja mais que o caminho para abrir-se.	MÃO CAMINHO MAIS ABRIR
De onde é que estão olhando para mim?	EU OLHAR ONDE (NÃO)
Que coisas incapazes de olhar estão olhando para mim?	{INCAPAZES COISA OLHAR EU OLHAR}(q)
Quem espreita de tudo?	TUDO ESPREITAR QUEM (NÃO)
As arestas fitam-me.	ARESTAS EU FITAR
Sorriem realmente as paredes lisas.	REAL LISAS PAREDES ELES SORRIR
Sensação de ser só a minha espinha.	SÓ SENSAÇÃO MEU ESPINHA
As espadas.	ESPADAS
Nas grandes horas em que a insónia avulta	INSÓNIA HORAS AVULTAR
Como um novo universo doloroso,	COMO NOVO DOLOROSO UNIVERSO
E a mente é clara com um ser que insulta	MENTE CLARO INSULTAR
O uso confuso com que o dia é ocioso,	USO CONFUSO DIA OCIOSO
Cismo, embebido em sombras de repouso	SOMBRAS REPOUSO EU CISMAR EMBEBER
Onde habitam fantasmas e a alma é oculta,	ONDE FANTASMAS ELES HABITAR ALMA OCULTO
Em quanto errei e quanto ou dor ou gozo	QUANTO OU QUANTO DOR OU GOZO EU ERRAR
Me farão nada, como frase estulta.	COMO ESTULTO EU NADA FRASE FAZER
Cismo, cheio de nada, e a noite é tudo	EU CISMAR CHEIO NADA NOITE TUDO
Meu coração, que fala estando mudo, 	CORAÇÃO MUDO MEU FALAR
Repete seu monótono torpor	MONÓTONO TORPOR SEU ELE REPETIR
Na sombra, no delírio da clareza,	SOMBRA DELÍRIO CLAREZA
E não há Deus, nem ser, nem Natureza	DEUS HAVER NÃO NEM (NÃO)
E a própria mágoa melhor fora dor.	PRÓPRIO MÁGOA MELHOR DOR
Às vezes tenho ideias, felizes,	ÀS VEZES FELIZES IDEIAS EU TER
Ideias subitamente felizes, em ideias	SUBITAMENTE IDEIAS FELIZES IDEIAS
E nas palavras em que naturalmente se despejam...	NATURAL PALAVRAS DESPEJAR
Depois de escrever, leio...	DEPOIS ESCREVER
Porque escrevi isto?	ELE EU ESCREVER PORQUE (NÃO)
Onde fui buscar isto?	ELE BUSCAR ONDE (NÃO)
De onde me veio isto	ONDE ELE EU VIR
Isto é melhor do que eu...	ISTO É MELHOR DO QUE EU
Seremos nós neste mundo apenas canetas com tinta	ESTE NÓS MUNDO CANETAS TINTA APENAS
Com que alguém escreve a valer o que nós aqui traçamos?...	AQUI ALGUÉM NÓS O VALER ESCREVER TRAÇAR
FICÇÕES DO INTERLÚDIO	FICÇÕES DO INTERLÚDIO
PLENILÚNIO	PLENILÚNIO
As horas pela alameda	HORAS ALAMEDA
Arrastam vestes de seda,	VESTES SEDA ELES ARRASTAR
Vestes de seda sonhada	VESTES SEDA SONHAR
Pela alameda alongada	ALAMEDA ALONGAR
Sob o azular do luar...	LUAR AZULAR
E ouve-se no ar a expirar —	AR ELE OUVIR EXPIRAR
A expirar mas nunca expira	EXPIRAR MAS ELE EXPIRAR NUNCA NÃO
Uma flauta que delira,	FLAUTA DELIRAR
Que é mais a ideia de ouvi-la	IDEIA MAIS OUVIR
Que ouvi-la quase tranquila	QUASE A TRANQUILO OUVIR
Pelo ar a ondear e a ir...	AR ONDEAR IR
Silêncio a tremeluzir...	SILÊNCIO TREMELUZIR
Dormi	EU DORMIR
Sonhei	EU SONHAR
No informe labirinto	INFORME LABIRINTO
Que há entre a vida e a morte me perdi.	VIDA HAVER MORTE EU PERDER
E o que, na vaga viagem, eu senti	O EU VIAGEM SENTIR
Com exacta memória não o sinto.	MEMÓRIA O EXACTO SENTIR (NÃO)
Se quero achar-me em mim dizendo-o, minto.	O EU EU DIZER MENTIR ACHAR QUERER
A vasta teia, estive-a e não a vi.	VASTO TEIA A A VER (NÃO)
Obscuramente me desconcebi.	OBSCURO EU DESCONCEBI
Estou farto de símbolos...	FARTO SÍMBOLOS
Mas dizem-me que tudo é símbolo.	MAS TUDO DIZER EU SÍMBOLO
Todos me dizem nada.	TODO NADA EU DIZER
Quais símbolos	QUAIS SÍMBOLOS
Sonhos.—	SONHOS
Que o sol seja um símbolo, está bem...	SÍMBOLO TUDO BEM
Que a lua seja um símbolo, está bem...	SÍMBOLO LUA TUDO BEM
Que a terra seja um símbolo, está bem...	SÍMBOLO TERRA TUDO BEM
Mas quem repara no sol senão quando a chuva cessa,	MAS SENÃO QUEM REPARAR QUANDO CHUVA CESSAR
E ele rompe as nuvens e aponta para trás das costas	ELE MULHER NUVEM ROMPER COSTAS ELE APONTAR
Para o azul do céu?	{CÉU AZUL}(q)
Mas quem repara na lua senão para achar	MAS SENÃO QUEM LUA ACHAR REPARAR
Bela a luz que ela espalha, e não bem ela?	{MULHER BELO LUZ ELA ESPALHAR}(q)
Mas quem repara na terra, que é o que pisa?	MAS REPARAR TERRA PISAR QUEM QUE (NÃO)
Chama terra aos campos, às árvores, aos montes.	ELE NOME TERRA CAMPOS ÁRVORES MONTES
Por uma diminuição instintiva,	INSTINTIVO DIMINUIÇÃO
Porque o mar também é terra...	TAMBÉM PORQUE MAR TERRA
Bem, vá, que tudo isso seja símbolo	BEM TUDO ISSO SÍMBOLO
Mas que símbolo é, não o sol, não a lua, não a terra, 	MAS SÍMBOLO LUA TERRA (NÃO)
Mas neste poente precoce e azulando-se 	MAS ESTE PRECOCE POENTE AZULAR
O sol entre farrapos finos de nuvens, 	FARRAPOS FINOS MULHER NUVEM
Enquanto a lua é já vista, mística, no outro lado, 	ENQUANTO JÁ LUA OUTRO MÍSTICO LADO VER
E o que fica da luz do dia 	O LUZ DIA FICAR
Doura a cabeça da costureira que pára vagamente à esquina 	VAGO CABEÇA MULHER COSTUREIRO ESQUINA DOURAR PARAR
Onde demorava outrora com o namorado que a deixou	ONDE OUTRORA NAMORADO A DEMORAR DEIXAR
Não quero símbolos	SÍMBOLOS
Queria — pobre figura de miséria e desamparo	POBRE MISÉRIA FIGURA DESAMPARO ELE QUERER
Que o namorado voltasse para a costureira.	NAMORADO MULHER COSTUREIRO VOLTAR
SAUDADE DADA	SAUDADADA
Em horas inda louras, lindas	INDA LOURAS HORAS LINDAR
Clorindas e Belindas, brandas,	CLORINDAS BELINDAS BRANDAS
Brincam no tempo das berlindas,	TEMPO BERLINDAS ELES BRINCAR
As vindas vendo das varandas.	VINDAS VARANDAS VER
De onde ouvem vir a rir as vindas	ONDE VINDAS VIR RIR ELES OUVIR
Fitam a fio as frias bandas.	FRIAS FIO BANDAS ELES FITAR
Mas em torno à tarde se entorna	MAS TARDE ELE ENTORNAR
A atordoar o ar que arde	AR ATORDOAR ARDER
Que a eterna tarde já não torna!	JÁ ETERNO TARDE TORNAR (NÃO)
E em tom de atoarda todo o alarde	TODO TOM ATOARDA ALARDE
Do adornado ardor transtorna	ARDOR TRANSTORNAR ADORNAR
No ar de torpor da tarda tarde.	AR TORPOR TARDE TARDO
E há nevoentos desencantos	NEVOENTOS DESENCANTOS HAVER
Dos encantos dos pensamentos	ENCANTOS PENSAMENTOS
Nos santos lentos dos recantos	LENTOS SANTOS RECANTOS
Dos bentos cantos dos conventos...	BENTOS CANTOS CONVENTOS
Prantos de intentos, lentos, tantos	TANTOS PRANTOS LENTOS INTENTOS
Que encantam os atentos ventos.	VENTOS ATENTOS ENCANTAR
Não sei quantas almas tenho.	QUANTAS ALMAS TER TER NÃO_SABER {NÃO}(headshake)
Cada momento mudei.	MOMENTO CADA MUDAR
Continuamente me estranho.	CONTINUAMENTE EU ESTRANHO
Nunca me vi nem achei.	EU VER NUNCA NÃO NEM EU ACHAR
De tanto ser, só tenho alma	SÓ TANTO EU TER ALMO
Quem tem alma não tem calma	QUEM TER NÃO_TER {NÃO}(headshake)
Quem vê é só o que vê, 	SÓ QUEM O VER
Quem sente não é quem é,	QUEM SENTIR (NÃO)
Atento ao que sou e vejo,	ATENTO EU VER
Torno-me eles e não eu	EU ELES EU TORNAR (NÃO)
Cada meu sonho ou desejo 	MEU CADA SONHO OU DESEJO
É do que nasce e não meu	DO QUE MEU (NÃO)
Sou minha própria paisagem, 	PRÓPRIO PAISAGEM
Assisto à minha passagem,	PASSAGEM MEU EU ASSISTIR
Diverso, móbil e só, 	SÓ MÓBIL
Não sei sentir-me onde estou.	ONDE EU SENTIR NÃO_SABER {NÃO}(headshake)
Por isso, alheio, vou lendo 	ALHEIO ISSO LER LER
Como páginas, meu ser 	COMO PÁGINAS MEU
O que segue não prevendo,	O SEGUIR PREVER (NÃO)
O que passou a esquecer.	O ESQUECER PASSADO
Noto à margem do que li	NOTO MARGEM DO QUE
O que julguei que senti.	O QUE JULGAR SENTIR
Releio e digo: Fui eu?	{EU RELER EU DIZER EU IR}(q)
Deus sabe, porque o escreveu.	PORQUE DEUS ESCREVER O SABER
Ali não havia electricidade.	ELECTRICIDADE HAVER AINDA_{NÃO}(headshake)
Por isso foi à luz de uma vela mortiça	VELA ISSO MORTIÇO
Que li, inserto na cama,	LI INSERTO CAMA
O que estava à mão para ler —	O MÃO LER
A Bíblia, em português (coisa curiosa!), feita para protestantes	BÍBLIA PORTUGUÊS COISA MULHER CURIOSO PROTESTANTES FAZER
E reli a Primeira Epístola aos Coríntios.	PRIMEIRA EPÍSTOLA CORÍNTIOS RELER
Em torno de mim o sossego excessivo de noite de província	NOITE SOSSEGO EXCESSIVO PROVÍNCIA
Fazia um grande barulho ao contrário,	AO CONTRÁRIO GRANDE BARULHO ELE FAZER
Dava-me uma tendência do choro para a desolação.	TENDÊNCIA CHORO DESOLAÇÃO EU DAR
A Primeira Epístola aos Coríntios...	PRIMEIRA EPÍSTOLA CORÍNTIOS
Relia-se à luz de uma vela subitamente antiquíssima,	SUBITAMENTE RELIAR VELA ANTIGO
E um grande mar de emoção ouvia-se dentro de mim...	GRANDE MAR EMOÇÃO EU OUVIR
Sou nada...	NADA
Sou uma ficção...	FICÇÃO
Que ando eu a querer de mim ou de tudo neste mundo?	{EU ESTE QUERER EU OU TUDO MUNDO ANDAR}(q)
Se eu não tivesse a caridade.	EU CARIDADE NÃO_TER {NÃO}(headshake)
E a soberana luz manda, e do alto dos séculos,	SOBERANO LUZ ELE MANDAR ALTO SÉCULOS
A grande mensagem com que a alma é livre...	MENSAGEM ALMA LIVRE
Se eu não tivesse a caridade...	EU CARIDADE NÃO_TER {NÃO}(headshake)
Meu Deus, e eu que não tenho a caridade!...	DEUS MEU EU CARIDADE NÃO_TER {NÃO}(headshake)
PIERROT BÊBADO	PIERROT BÊBADO
Nas ruas da feira,	RUAS FEIRA
Da feira deserta,	FEIRA DESERTAR
Só a lua cheia	SÓ CHEIO LUA
Branqueia e clareia	ELE BRANQUEAR ELE CLAREAR
As ruas da feira	RUAS FEIRA
Na noite entreaberta.	ENTREABERTO NOITE
Só a lua alva	SÓ LUA
Branqueia e clareia	ELE BRANQUEAR ELE CLAREAR
A paisagem calva	PAISAGEM CALVO
De abandono e alva	ABANDONO ALVA
Alegria alheia.	ALEGRIA ALHEIO
Bêbeda branqueia	BÊBEDA BRANQUEAR
Como pela areia	COMO AREIA ELE PELAR
Nas ruas da feira,	RUAS FEIRA
Da feira deserta,	FEIRA DESERTAR
Na noite já cheia	JÁ CHEIO NOITE
De sombra entreaberta.	ENTREABERTO SOMBRA
A lua branqueia	LUA BRANQUEAR
Nas ruas da feira	RUAS FEIRA
Deserta e incerta...	INCERTO ELE DESERTAR
Tenho pena e não respondo.	PENA EU TER EU RESPONDER (NÃO)
Mas não tenho culpa enfim	MAS ENFIM CULPA EU NÃO_TER {NÃO}(headshake)
De que em mim não correspondo	EU CORRESPONDER (NÃO)
Ao outro que amaste em mim.	OUTRO EU AMAR
Cada um é muita gente	CADA UM GENTE MUITA
Para mim sou quem me penso, 	QUEM EU EU PENSAR
Para outros — cada um sente 	OUTRO ELE SENTIR
O que julga, e é um erro imenso.	O JULGAR IMENSO ERRO
Ah, deixem-me sossegar	AH EU SOSSEGAR DEIXAR
Não me sonhem nem me outrem	EU NEM EU OUTREM SONHAR (NÃO)
Se eu não me quero encontrar, 	EU EU ENCONTRAR QUERER (NÃO)
Quererei que outros me encontrem?	{OUTROS EU ENCONTRAR QUERER}(q)
Não: devagar	DEVAGAR
Devagar, porque não sei 	DEVAGAR PORQUE EU NÃO_SABER {NÃO}(headshake)
Onde quero ir	ONDE IR EU QUERER
Há entre mim e os meus passos 	MEU EU PASSOS HAVER
Uma divergência instintiva	DIVERGÊNCIA INSTINTIVO
Há entre quem sou e estou 	QUEM HAVER
Uma diferença de verbo 	DIFERENÇA VERBO
Que corresponde à realidade.	REALIDADE ELE CORRESPONDER
Devagar...	DEVAGAR
Sim, devagar...	DEVAGAR SIM
Quero pensar no que quer dizer	QUER DIZER PENSAR QUERER
Este devagar...	DEVAGAR ESTE
Talvez o mundo exterior tenha pressa demais.	TALVEZ EXTERIOR MUNDO PRESSA DEMAIS TER
Talvez a alma vulgar queira chegar mais cedo.	TALVEZ ALMA VULGAR MAIS CEDO CHEGAR QUERER
TaIvez a impressão dos momentos seja muito próxima...	IMPRESSÃO TAIVEZ PRÓXIMO MOMENTOS
Talvez isso tudo	TUDO ISSO
Mas o que me preocupa é esta palavra devagar	MAS DEVAGAR O ESTE EU PALAVRA PREOCUPAR
O que é que tem que ser devagar	DEVAGAR QUE O
Se calhar é o universo	SE CALHAR UNIVERSO
A verdade manda Deus que se diga	VERDADE MANDAR DEUS DIZER
Mas ouviu alguém isso a Deus?	{MAS ISSO ALGUÉM DEUS OUVIR}(q)
Passam na rua os cortejos	RUA CORTEJOS ELES PASSADO
Das pessoas existentes.	PESSOA EXISTENTES
Algumas vão ter ensejos,	ALGUMAS ENSEJOS TER
Outras vão mudar de fato,	OUTRAS FATO MUDAR
E outras são inteligentes.	OUTRAS INTELIGENTES
Não conheço ali ninguém.	ALI NINGUÉM EU CONHECER (NÃO)
Nem a mim eu me conheço.	NEM EU EU EU CONHECER
Olho-os sem nenhum desdém.	OS NENHUM DESDÉM OLHAR
Também vou mudar de fato.	TAMBÉM FATO MUDAR
Também vivo e também esqueço.	TAMBÉM VIVO TAMBÉM EU ESQUECER
Passam na rua comigo,	RUA COMIGO PASSADO
E eu e eles somos nós.	EU ELES NÓS
Todos temos um abrigo,	TODO ABRIGO NÓS TER
Todos mudamos de fato,	TODO FATO NÓS MUDAR
Ai, mas somos nus a sós.	AI MAS SÓS NUS
CANÇÃO TRISTE	CANÇÃO TRISTE
Sol, que dá nas ruas, não dá	ELE DAR RUAS DAR (NÃO)
No meu carinho.	CARINHO MEU
A felicidade quando virá?	FELICIDADE VIR QUANDO (NÃO)
Por que caminho?	{CAMINHO}(q)
Horas e horas por fim são meses 	HORAS HORAS FIM MESES
De ansiado bem.	BEM ANSIAR
Eu penso em ti indecisas vezes, 	INDECISAS EU TU MULHER VEZ PENSAR
E tu ninguém!	TU NINGUÉM
Não tenho barco para a outra margem, 	OUTRO BARCO MARGEM EU NÃO_TER {NÃO}(headshake)
Nem sei do rio	NEM RIO EU SABER
E envelheceu já tua imagem 	JÁ ELE ENVELHECER IMAGEM
E eu sinto frio.	EU FRIO SENTIR
Não me resigno, não me decido, 	EU RESIGNAR EU DECIDIR (NÃO)
Choro querer...	EU CHORAR QUERER
Sempre eu	SEMPRE EU
Ó sorte, dá-me o olvido 	Ó SORTIR EU OLVIDO DAR
De pertencer!	PERTENCER
Enterrei hoje outra vez meu sonho 	OUTRA VEZ MEU HOJE SONHO EU ENTERRAR
